steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	G_reink	G_taxed	ppop0	G_steink0	G_steink_halb	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1987.5	"AI"			5090	175604.3	.3360792	.3150201	.3243612	.0062868	.3360792	.3360792	10.31837	11.73456	13.88963	17.37058	19.18599	20.89215	24.23943	27.37421	31.1065	35.85399	38.77975	42.48985	55.64757	75.54163	82.43459	94.30714	108.9158	148.486				34.49986	5090
1989.5	"AI"			5004	198929.8	.3288757	.3174898	.3177655	.0081934	.3288757	.3288757	10.64453	13.75445	16.58051	21.13697	22.97756	25.137	28.40884	31.97441	35.93574	40.70439	43.70056	47.88715	63.71359	83.89174	95.56142	107.4791	127.3447	179.6204				39.75415	5004
1991.5	"AI"			5201	233840.2	.3401904	.3256267	.327827	.0099981	.3401904	.3401904	11.11189	15.67905	18.77624	23.40785	25.67533	27.62503	31.71136	35.79668	40.11475	45.54169	48.82314	53.11586	68.52265	93.20851	103.4538	117.1865	141.0054	199.8803				44.96062	5201
1993.5	"AI"			5331	262803.9	.3241893	.3103876	.3131422	.0106922	.3241893	.3241893	14.42487	17.35324	20.75877	26.39126	28.8719	31.3407	36.00239	40.27745	45.07461	51.51633	55.67893	60.34078	76.41387	98.60173	108.3147	122.6325	143.8389					49.2973	5331
1995.5	"AI"	1215	70	5516	295506.2	.3463542	.3296928	.3333306	.011291	.4643426	.4284261	15.17094	18.42201	21.93904	27.51779	30.21637	32.36259	37.20488	42.19048	47.60369	54.2477	58.92059	64.33999	82.03162	107.8336	119.2508	134.8781	163.2924					53.57255	5516
1997.5	"AI"	1342	90	5416	298262.5	.3485188	.332816	.3358048	.011098	.4778896	.4363974	15.69164	19.31811	23.01051	28.49723	30.9158	33.0369	37.67068	42.88129	48.7112	55.63412	60.32289	65.97478	84.38034	111.1862	122.29	137.3889	165.4267					55.07063	5416
1999.5	"AI"	1396	169	5202	300413.4	.3772458	.3606552	.3622879	.0121249	.5090077	.4655941	15.62467	18.95726	22.95946	28.81454	31.25015	33.49749	38.05964	42.88723	48.31493	55.22626	59.60048	65.38143	83.47076	111.6703	124.1328	141.6673	174.0639					57.7496	5202
2001	"AI"	1620	49	6151	380373.3	.3823745	.3602992	.3676211	.015442	.5111293	.4710678	16.66153	19.67514	23.59211	30.59208	32.95309	35.59114	40.62476	45.80806	51.73333	59.19134	64.25343	70.48418	91.27917	121.0635	135.4232	157.3124	197.1527					61.83926	6151
2002	"AI"	1443	45	6242	394731.7	.3912595	.3720258	.3758865	.0145738	.5055617	.4706237	16.67179	19.73708	23.72898	30.68097	33.29071	36.04371	41.12687	45.9919	51.8133	59.66962	64.57394	70.53185	92.5405	122.0671	135.1544	154.6269	189.349					63.23801	6242
2003	"AI"	1412	58	6324	387374.8	.3669477	.351281	.3532477	.0148656	.4824944	.4454372	16.71092	20.05488	23.80033	30.64618	33.25789	36.08117	41.42684	46.57929	52.49129	60.66272	65.65478	71.56904	94.01179	120.1389	133.0623	152.2561	189.819					61.25471	6324
2004	"AI"	1440	91	6419	393662.9	.3612625	.3450813	.3477861	.0151419	.478298	.4412535	16.76867	20.30701	24.31474	31.07565	33.92547	36.57157	41.69267	47.01624	52.9667	60.73355	65.88663	72.20818	95.49931	122.315	136.1264	156.7177	192.3767					61.32776	6419
2005	"AI"	1477	80	6531	415835	.3788899	.3620813	.3642564	.018981	.4934478	.4570602	16.78554	20.35317	24.13502	31.05524	33.86784	36.62952	42.0191	47.50664	53.71381	61.9221	67.20921	73.50945	97.5865	129.0769	143.4398	169.9011						63.67096	6531
2006	"AI"	1556	79	6521	415742.7	.3673969	.3527122	.3538128	.0191903	.4892652	.4495157	16.87515	20.66409	24.60151	31.95506	35.08708	37.38239	42.52023	48.20461	54.78145	63.36415	68.58943	74.80912	97.70029	131.6506	145.4862	172.5133						63.75444	6521
2007	"AI"	1570	93	6715	450364.6	.3827772	.3676196	.3680918	.0206397	.4997404	.4622487	16.98906	20.95091	24.84163	32.63522	35.74944	38.40616	43.95744	49.77025	56.56345	65.2664	70.55397	76.9208	100.2116	134.3554	148.4908	179.1984						67.06844	6715
2008	"AI"	1626	98	6778	436767.3	.3593509	.3434215	.3461807	.0184436	.4833033	.4439658	17.04424	21.22173	25.61698	32.73744	35.75742	38.3237	43.47986	49.2203	56.1783	64.64572	70.19564	76.86727	101.2995	136.6313	152.1144	175.0706						64.43896	6778
2009	"AI"	1675	106	6858	449892.3	.3647574	.3500247	.3513176	.0158209	.4894534	.4500112	16.4133	21.44724	25.78565	32.70197	35.68115	38.32738	44.06695	50.16768	56.96031	65.45152	70.97114	77.77411	101.9207	136.3935	150.5838	168.927	198.6361					65.6011	6858
2010	"AI"	1727	104	6872	440694.2	.3454968	.3336346	.3334522	.0160484	.4769455	.4360429	16.32382	21.34684	25.93713	33.20609	36.14426	38.91909	44.19921	50.22891	57.25695	66.32794	71.89143	78.70905	103.3559	136.0979	148.4303	168.0297						64.12896	6872
1918	"AR"			1891	7192.2	.2412228		.2367438	0	.2412228	.2412228	2.503898	2.519957	2.541167	2.58799	2.614011	2.642118	2.712702	2.879376	3.153673	3.596195	3.81423	4.133813	5.541808	7.393725	7.874845	9.619666	11.70998		24.15442			3.803385	1891
1923	"AR"			1846	11120.75	.3129042			0	.3129042	.3129042	2.018528	2.096373	2.20299	2.454397	2.604121	2.774293	3.195773	3.777675	4.635957	5.464406	5.912898	6.512206	8.789568	13.12271	15.413	20.12413	25.21093	34.84319	45.25603			6.024241	1846
1941.5	"AR"			4377	24341	.3350167			.0022847	.3350167	.3350167	2.014817	2.076779	2.160903	2.356149	2.470516	2.598923	2.910453	3.327461	3.919997	4.842208	5.324014	5.890112	8.061961	11.45978	13.17989	15.78387	20.32923	30.58174	46.00482			5.561115	4377
1945.5	"AR"			230052	1295877	.342527		.3379011	.0010954	.342527	.342527	7.125288	7.31613	7.574078	8.095366	8.28864	8.50036	8.99315	9.487601	10.9458	19.90936	25.29471	32.79386	60.07568	64.25573	65.66235	67.52132	70.32259	77.24031	84.81893			5.632974	230052
1947.5	"AR"			13862	69604	.3513452		.3432688	.0007214	.3513452	.3513452	2.030609	2.161201	2.345207	2.802112	3.033963	3.15799	3.453734	3.839475	4.280953	4.865328	5.262547	5.783701	7.603848	10.53996	11.85217	13.78782	17.06441	24.87064	36.57499	86.30743		5.021209	13862
1949	"AR"			10875	72448	.3168483		.3080104	.0012874	.3168483	.3168483	3.050195	3.265128	3.57	4.100049	4.235935	4.386185	4.741426	5.169853	5.69383	6.417574	6.907875	7.48329	9.580953	12.8987	14.33714	16.58544	20.92307	30.94937	45.54848			6.661885	10875
1950	"AR"			6953	57322	.3166271		.3063248	.0020135	.3166271	.3166271	4.05355	4.280913	4.598403	5.119307	5.264259	5.423758	5.797805	6.255028	6.844816	7.593894	8.097631	8.772843	11.53499	16.05522	17.99603	21.38807	26.71328	39.71443	58.86154			8.244211	6953
