anz_pflichtige	steuerperiode	bemessungsjahre	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
0	1959.5	1957.5	"SG"			5430	45658	.4849331						6.172507	6.661962	7.2326	7.902589	8.88804	9.611893	10.56284	14.06299	20.28526	53.16013	8.408471
0	1961.5	1959.5	"SG"			14047	120428	.2449096			6.116459	6.385535	6.53796	6.704932	7.064186	7.395328	7.821811	8.368187	8.722127	9.225471	11.42318	15.09778	33.97202	8.573218
0	1963.5	1961.5	"SG"			18563	173252	.2429965			6.351946	7.117417	7.29815	7.496435	7.959146	8.350037	8.835359	9.45037	9.850361	10.34726	12.24588	15.42891	33.70958	9.33319
0	1965.5	1963.5	"SG"			18438	196463	.2592441			7.239572	8.244891	8.484318	8.747964	9.246481	9.766013	10.35241	11.08413	11.53159	12.10204	14.18619	17.50247	38.91918	10.65533
0	1967.5	1965.5	"SG"			16598	210361.3	.281467			8.035431	8.627315	9.052029	9.333907	10.07515	10.73009	11.61989	12.76291	13.46425	14.33116	17.7429	23.01996	49.3662	12.67389
1	1969.5	1967.5	"SG"			21266	297320.6	.3002124			8.133876	9.049192	9.445523	9.888423	10.76785	11.76412	13.02007	14.32024	15.16589	16.22263	20.23569	25.74378	59.76268	13.98103
1	1971.5	1969.5	"SG"			19009	331637.8	.32844			9.579476	11.09496	11.61932	12.25612	13.44117	14.67638	16.20565	18.08423	19.21818	20.63438	25.80049	32.99636	75.84831	17.44636
0	1959.5	1957.5	"SH"			733	8935	.3773329			6.178842	6.925949	7.285568	7.670623	8.461928	9.433444	10.60113	11.84307	12.68849	13.67232	18.38973	27.13108	64.05331	12.18963
0	1961.5	1959.5	"SH"			975	9333	.4919994						6.317474	7.236226	8.08525	9.030269	10.27043	11.18133	12.27558	17.43026	23.58494	66.16791	9.572308
0	1963.5	1961.5	"SH"			1364	15394	.5008662					6.636469	7.241672	7.961483	8.840295	9.91975	11.06309	11.91376	13.18714	18.2598	30.31217	76.72089	11.28592
0	1965.5	1963.5	"SH"			1653	22917	.4920347				7.630444	8.193256	8.497664	9.19948	10.0432	11.12219	12.346	13.39201	14.78886	20.53544	32.52676	88.58791	13.86388
