steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_reink	ppop0	G_reink0	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p96	p97	p98	p99	p9950	p9990	p9999	mean	sum_pflichtige
1987.5	"BL"			90989	4869013	.3370757	.0112541	.3370757	11.32355	16.35867	20.54499	26.64213	29.59792	32.39692	38.19941	44.29435	51.04704	58.92566	63.62484	69.20532	94.88827	112.8468	122.1297	135.9092	158.7682					53.5121	90989
1989.5	"BL"			92899	5319880	.3363365	.0132725	.3363365	12.58196	18.01645	22.2273	28.91382	31.80737	34.70908	40.60358	47.01499	54.22008	62.66919	67.71338	73.81043	94.86369	121.8788	131.8159	145.832	170.3879					57.2652	92899
1991.5	"BL"			96379	6014822	.3367153	.0163314	.3367153	15.1257	19.64117	24.7135	31.68062	35.00637	37.81781	44.12421	51.09603	58.92693	68.16046	73.80659	80.67215	103.4933	132.2733	143.1705	159.1627	185.2814					62.40801	96379
1993.5	"BL"			95797	6678600	.3295246	.0207209	.3295246	16.31765	22.1798	27.92698	36.18034	39.66019	42.94806	50.02549	57.59026	66.3305	76.71549	82.89466	90.47992	114.8936	145.0182	156.9938	174.4926						69.71617	95797
1995.5	"BL"	16494	4643	99092	6977596	.319277	.0169917	.4164155	16.77114	23.25567	29.34458	37.60128	41.19763	44.52727	51.27332	58.58475	67.17561	77.48017	83.77513	91.42184	115.616	144.9056	156.3577	172.9142	199.2686					70.41533	99092
1997.5	"BL"	22608	5857	100391	7111920	.3159089	.0160164	.4416492	17.27317	24.00212	30.12029	38.12869	41.68962	45.20245	51.84292	59.10246	67.5555	77.79839	84.00493	91.52601	115.4569	144.9212	156.336	172.6564	198.5923					70.84221	100391
1999.5	"BL"	21554	6700	99185	6893571	.3141964	.0155294	.4366242	17.39787	24.0142	30.08602	37.75289	41.1566	44.31321	50.80839	57.67422	65.79556	75.82449	82.18999	89.80098	114.1909	143.1617	154.2481	170.3871	196.0411					69.50214	99185
2001	"BL"	29412	347	118275	9017247	.3258325	.0209565	.4600935	18.97661	25.20204	31.52861	40.66839	44.28598	47.78238	55.01488	62.61543	71.39998	82.20142	88.81182	96.91696	124.3023	158.3602	171.5975	190.309						76.23967	118275
2002	"BL"	29675	404	118867	9126320	.3248368	.0207551	.4597176	18.95648	25.28448	31.85404	40.90689	44.6308	48.09262	55.40123	63.09436	72.24714	83.21139	90.06875	98.29644	125.3935	158.8538	171.7637	189.9676						76.77757	118867
2003	"BL"	29108	446	120693	9453274	.3253864	.0226167	.4564714	19.34424	25.77118	32.31153	41.46721	45.34455	48.92337	56.31823	64.30667	73.75758	85.35667	92.32393	100.889	129.0078	163.8392	176.9348	195.3744						78.32496	120693
