anz_pflichtige	steuerperiode	kanton	null_norm	null_sond	cpop	cinc	G_steink	p1	p5	p10	p20	p25	p30	p40	p50	p60	p70	p75	p80	p90	p95	p99	mean
16	1967.5	"BS"			96466	1850812	.3736942		8.049404	8.63795	9.897071	10.51083	11.15745	12.35516	13.66784	15.31503	17.50585	19.06289	21.08193	28.82976	41.64349	112.0181	19.18616
21	1969.5	"BS"			103144	2169926	.3794587		8.207167	9.077882	10.64067	11.42142	12.19061	13.60871	15.24157	17.11434	19.54743	21.25508	23.43849	31.88686	45.5183	122.4255	21.03783
35	1971.5	"BS"			98473	2490108	.3725644	6.555722	10.35488	11.32399	13.12233	13.86075	14.68614	16.39117	18.22158	20.40946	23.37982	25.37706	27.97999	38.03518	54.45462	144.7131	25.28721
48	1973.5	"BS"			100698	2948348	.3923953		10.57858	11.89793	14.35794	15.46986	16.54199	18.66661	21.05359	23.7152	27.20528	29.51406	32.65966	44.80674	64.8699	170.4826	29.27911
47	1975.5	"BS"			102210	3407407	.3949314		10.70566	12.45856	15.77075	17.4092	18.88837	21.78925	24.80207	28.10537	32.3747	35.1688	38.62296	52.33671	73.45092	182.991	33.33731
31	1977.5	"BS"			100969	3586351	.3834441		11.03483	12.79027	16.5571	18.45456	20.3323	23.77831	27.18341	31.24841	36.11275	39.07691	43.04514	57.6597	78.6572	182.7515	35.51933
29	1979.5	"BS"			100251	3656209	.3799081		11.39251	13.35238	17.11017	19.0179	20.84625	24.49867	27.99282	32.14498	37.16125	40.39211	44.38664	59.49278	81.87582	184.3041	36.47055
35	1981.5	"BS"			101025	3842507	.3808702		11.47683	13.55562	17.59919	19.65559	21.68168	25.5147	29.38206	33.76506	39.19612	42.62571	47.00232	62.83712	85.28783	186.3589	38.03521
43	1983.5	"BS"			101500	4121605	.381102	6.516538	12.24442	14.53594	18.74561	20.81269	22.88726	26.93149	31.29221	36.03149	41.63951	45.27708	49.88718	67.02701	91.05359	196.0662	40.60694
47	1985.5	"BS"			102479	4428453	.3812747	8.03003	12.86984	15.35957	19.79262	22.09213	24.27539	28.6253	33.30302	38.47521	44.71275	48.66762	53.69092	72.03815	96.99469	206.4664	43.21327
1199	1987.5	"BS"			108457	4769984	.3773345		12.14345	15.43116	20.49926	22.58543	25.10602	29.52456	34.15301	39.35383	45.57545	49.41291	54.39854	72.46313	96.39108		43.98041
1304	1989.5	"BS"			107676	5096555	.3718437		13.09821	17.02183	22.58155	25.21209	27.36291	32.16959	37.13075	42.61113	49.22393	53.49574	58.98647	77.98054	103.5142		47.33232
1550	1991.5	"BS"			108670	5632436	.3729561		15.11943	18.60683	24.88689	27.38606	30.21695	35.35809	40.63195	46.46357	53.59329	58.20493	64.08318	84.68228	112.0451		51.83064
1841	1993.5	"BS"			108948	6329968	.37193		16.59464	20.64708	27.67548	30.89972	33.9165	40.00715	45.92123	52.5717	60.87683	66.04161	72.47033	95.15899	124.283		58.10082
79	1961.5	"CH"			1185438	1.47e+07	.3562466		6.134748	6.372768	6.923744	7.19065	7.468038	8.116076	8.893053	9.920041	11.35613	12.35549	13.66554	18.84544	27.11528	68.05923	12.43169
107	1963.5	"CH"			1285173	1.83e+07	.3717081		6.477386	7.133439	7.730052	8.064507	8.385319	9.136828	10.04293	11.22047	12.89221	14.04397	15.58419	21.73294	31.76023	80.86428	14.24381
159	1965.5	"CH"			1299066	2.15e+07	.376457		7.553763	8.206017	8.9246	9.283063	9.666885	10.52471	11.56617	12.91281	14.82177	16.13473	17.90541	25.17975	37.12262	95.36873	16.5163
194	1967.5	"CH"			1530556	2.74e+07	.3698386		8.040617	8.457121	9.421573	9.87291	10.39752	11.45212	12.67049	14.26585	16.3791	17.79598	19.74209	27.48088	39.43451	100.1968	17.89146
